country,country_code_2_digit,country_code_3_digit,population,daily_count,reported_date,confirmed cases_count,deaths_count,source
Cyprus,CY,CYP,875899,26,2020-08-03,26,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,12,2020-06-23,,12,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,1,2020-09-03,,1,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,471,2020-07-18,471,,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,229,2020-08-14,229,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,6,2020-07-02,,6,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,57,2020-08-27,57,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,2020-02-07,0,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,0,2020-03-29,0,0,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,1,2020-03-30,,1,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,2020-02-29,,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,2020-08-29,0,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,25,2020-04-26,25,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,33,2020-03-18,33,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,373,2020-08-11,373,,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,11,2020-10-01,,11,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,14,2020-04-21,14,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,2020-10-20,,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,529,2020-04-02,529,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,2020-03-01,0,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,2020-01-25,0,0,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,6,2020-07-12,,6,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,11,2020-03-17,11,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,2020-05-05,,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2,2020-07-01,,2,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,139,2020-08-06,139,,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,1,2020-06-07,,1,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,2020-08-13,,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,1,2020-03-06,1,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,2020-07-02,,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,297,2020-10-22,297,,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,17,2020-04-12,17,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,237,2020-05-02,237,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,20,2020-06-22,20,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,2020-07-01,,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,138,2020-08-12,138,,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,2020-06-08,,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,33,2020-10-10,33,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,2020-01-10,0,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,336,2020-06-13,336,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,2020-03-16,,0,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2,2020-04-08,,2,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,491,2020-06-22,491,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,6,2020-05-22,6,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,2020-03-10,0,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,1,2020-06-22,1,,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,2020-03-08,0,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,6,2020-06-21,6,,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,14,2020-06-14,14,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,6,2020-03-17,6,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-10-02,0,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,159,2020-10-23,159,,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,0,2020-02-17,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,105,2020-08-29,105,,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,6,2020-08-19,,6,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,1,2020-08-04,,1,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,0,2020-07-05,0,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,11,2020-10-11,,11,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,162,2020-05-20,,162,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,2020-10-19,,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,10,2020-05-16,10,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,2020-02-23,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,57,2020-07-05,57,,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,2020-09-12,0,0,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,2020-01-30,0,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,2020-02-10,0,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-09-08,,0,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,2020-07-12,0,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,0,2020-02-22,0,0,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,2020-07-15,0,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,1,2020-08-18,1,,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,0,2020-01-03,0,0,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,2020-06-29,0,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,10,2020-05-23,10,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,4,2020-04-21,4,,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,0,2020-02-16,0,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,1247,2020-03-08,1247,,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,0,2020-01-14,0,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,1186,2020-10-20,1186,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,2020-10-16,,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,23,2020-06-07,23,,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,2020-09-02,,0,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,92,2020-10-21,92,,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,58,2020-10-19,58,,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,0,2020-08-14,,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,30,2020-03-22,,30,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,2020-05-13,0,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,1,2020-06-29,1,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,357,2020-05-11,357,,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,166,2020-05-03,,166,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,578,2020-04-16,,578,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,48,2020-04-02,48,,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,24,2020-08-08,24,,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,3,2020-09-10,3,,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,1,2020-10-07,1,,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,2020-05-11,,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,0,2020-03-06,,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,0,2020-08-17,,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,120,2020-03-27,120,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,390,2020-07-07,390,,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,99,2020-09-20,99,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,1,2020-07-15,,1,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,1,2020-04-03,,1,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,6,2020-07-10,,6,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,2020-03-18,,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,2020-03-14,,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,3,2020-08-18,,3,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,1,2020-07-26,,1,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,114,2020-07-15,114,,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,8866,2020-09-09,8866,,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,803,2020-07-01,803,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,14,2020-05-10,14,,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,0,2020-01-20,0,0,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,18,2020-08-13,,18,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2,2020-04-29,,2,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,8,2020-04-27,,8,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,233,2020-04-28,233,,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,339,2020-07-19,339,,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,0,2020-03-06,0,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,0,2020-05-31,0,0,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,468,2020-06-01,468,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,7,2020-04-19,,7,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,2020-07-19,0,0,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,0,2020-06-07,,0,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,222,2020-08-26,222,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,368,2020-04-30,368,,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,76,2020-05-05,76,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,63,2020-04-25,63,,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,4,2020-10-20,,4,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2982,2020-05-05,2982,,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,3,2020-10-01,,3,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,1,2020-06-05,,1,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,268,2020-04-30,,268,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,313,2020-07-19,313,,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,6,2020-10-21,,6,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,1,2020-05-20,1,,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,4760,2020-04-23,4760,,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,25,2020-08-21,,25,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,8,2020-05-07,8,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,29,2020-08-06,29,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,12,2020-04-19,,12,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,0,2020-08-10,,0,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,281,2020-05-01,,281,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,11,2020-07-04,,11,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,755,2020-06-28,755,,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,209,2020-06-01,209,,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,0,2020-02-08,0,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,0,2020-01-15,0,0,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2329,2020-05-12,2329,,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,318,2020-06-05,318,,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,0,2020-03-01,0,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,21,2020-07-19,,21,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,194,2020-03-19,194,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,23,2020-04-26,,23,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,72,2020-09-13,72,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,4,2020-09-16,,4,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2,2020-06-13,,2,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,748,2020-10-15,748,,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,2020-03-11,,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,2020-07-07,,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,171,2020-10-13,171,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,2020-02-18,0,0,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,4,2020-08-29,,4,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,1,2020-04-22,,1,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,10,2020-09-27,,10,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,48,2020-04-28,48,,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,2020-03-13,0,0,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,6,2020-05-17,,6,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,115,2020-03-13,115,,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,0,2020-02-16,0,0,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,3,2020-07-18,3,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,172,2020-03-20,172,,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,116,2020-08-11,116,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,2020-03-02,0,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,31,2020-04-11,31,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,8,2020-03-10,8,,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,3,2020-04-25,,3,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,2020-02-23,0,0,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,2020-10-12,0,0,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,39,2020-04-01,39,,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2,2020-06-05,,2,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,14,2020-05-18,14,,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,2020-03-17,,0,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,5687,2020-10-07,5687,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,569,2020-04-29,569,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,7,2020-09-18,,7,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,4,2020-08-14,4,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,7,2020-06-18,,7,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,90,2020-03-18,90,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,1,2020-05-18,,1,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,82,2020-08-26,82,,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,4,2020-08-03,,4,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,49,2020-04-15,49,,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,2020-05-26,,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,1,2020-02-28,1,,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,67,2020-08-01,67,,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,2020-01-21,0,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,8,2020-04-12,8,,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,0,2020-07-24,,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-05-22,0,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,2020-03-08,0,0,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,2020-08-15,,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-08-02,0,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,1,2020-07-15,1,,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2,2020-07-01,2,,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,2020-06-20,0,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,6,2020-05-07,,6,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,2020-02-07,0,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,2020-05-01,0,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,101,2020-04-27,101,,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2,2020-06-01,,2,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,2020-04-08,,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,474,2020-10-25,474,,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,2020-04-19,,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,345,2020-07-26,345,,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,248,2020-09-10,248,,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,527,2020-10-10,527,,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,518,2020-04-06,,518,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,0,2020-01-21,0,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,507,2020-04-06,507,,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,7,2020-08-29,7,,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,30,2020-07-03,,30,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,40,2020-08-08,40,,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,6,2020-07-01,,6,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,68,2020-10-13,68,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,4003,2020-04-08,4003,,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,0,2020-06-21,,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,2020-07-08,0,0,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,2020-10-15,,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2237,2020-04-22,2237,,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,2020-03-19,0,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,97,2020-09-05,97,,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,4,2020-05-19,,4,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,2020-09-28,,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,23,2020-06-28,23,,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,15,2020-05-18,15,,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,2020-06-02,0,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,4,2020-10-16,,4,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,2020-05-25,,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2,2020-03-09,,2,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,40,2020-10-03,40,,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,219,2020-05-10,219,,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2,2020-09-17,,2,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,2020-08-27,,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,0,2020-07-29,,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2,2020-03-30,2,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,2020-06-08,,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,0,2020-03-20,,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,2020-01-03,0,0,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,63,2020-10-02,,63,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-05-17,0,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,2020-05-03,0,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,2020-04-26,,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,20,2020-09-04,20,,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,0,2020-01-20,0,0,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,9,2020-06-28,,9,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2,2020-10-03,,2,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,2020-09-30,0,0,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,5,2020-07-29,,5,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,2020-10-19,0,0,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,0,2020-08-15,0,0,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,28,2020-05-20,,28,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,112,2020-08-05,112,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,6,2020-03-14,6,,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,0,2020-03-08,,0,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,16319,2020-10-21,16319,,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,12,2020-06-11,,12,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,564,2020-06-27,564,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,2020-06-20,0,0,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,325,2020-05-19,325,,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1186,2020-05-24,1186,,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1635,2020-05-15,1635,,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,0,2020-01-30,0,0,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,7,2020-09-17,,7,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,3,2020-07-01,,3,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,0,2020-02-11,0,0,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,191,2020-10-22,,191,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,0,2020-02-03,0,0,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,1306,2020-09-29,1306,,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1527,2020-09-14,1527,,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,5,2020-07-07,,5,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,1,2020-05-06,,1,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,69,2020-09-30,,69,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,588,2020-06-05,588,,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,0,2020-09-28,,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,195,2020-10-19,195,,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,427,2020-06-11,427,,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2031,2020-07-29,2031,,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1391,2020-10-01,1391,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,825,2020-10-01,825,,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,4,2020-09-26,,4,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,52,2020-03-20,52,,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,15,2020-06-15,,15,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,11,2020-05-02,11,,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,0,2020-06-06,,0,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,31,2020-07-10,,31,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,1,2020-09-13,,1,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,0,2020-01-27,0,0,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,73,2020-04-14,73,,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,4353,2020-04-18,4353,,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1243,2020-06-06,1243,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,1,2020-07-18,,1,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,11656,2020-05-12,11656,,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,13,2020-04-18,,13,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,25,2020-10-25,,25,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,0,2020-02-10,,0,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,37,2020-08-23,,37,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,295,2020-05-01,295,,"Epidemic intelligence, national daily data"
